,Country,FormalEducationPercent,CO2,EnergyUse,GDP,Inequality,LifeExpectancy,SolarAndWindElectricity,GreenhouseGasEmissions,SchoolingYears
114,Greenland,,0.24717777712881103,0.28001287736448327,,,0.6734717564095383,0.0,,
115,Grenada,,0.0631361915269085,0.0415788375335236,,,0.7765326460206035,0.02091179939106857,0.044379719375350415,0.5720002915868703
116,Guadeloupe,,,0.0,,,0.9135102576622295,0.14573311172881695,,
117,Guam,,,0.19477963757704178,,,0.8166367835044945,0.137453428289207,,
118,Guatemala,0.8206896551724138,0.02644727072596624,0.02518041402763423,0.049625118922488005,0.7805433119602193,0.7244458941335618,0.008527684079761885,0.022826621495449482,0.3857141063143378
119,Guernsey,,,,,,0.938005779190113,,,
120,Guinea,,0.006687978025443107,0.005649275817965238,0.008163391622007935,0.42798676082965786,0.4870788675348792,0.00037859982500764117,0.005891409579804154,0.2226609685292463
121,Guinea-Bissau,,0.003252575472042716,0.0029858280222066205,0.006925771899669849,0.5570269794794119,0.5540038101031771,0.0,0.005087162567575886,
122,Guyana,0.8827586206896549,0.1022594732270069,0.06034902013095484,,0.7805433119602193,0.6759771393809383,0.0032440781352688314,0.06989557733874482,0.42960669826178094
123,Haiti,0.746551724137931,0.007051848051257689,0.004544375286921629,0.0063942857787842875,0.7805433119602193,0.571027207018274,0.0,0.008629855432186874,0.3717768422175249
124,High-and-upper-middle-income countries,,,,,,0.8280931073952823,,,
125,High-income countries,,,0.24445333930268445,,,0.9012034643123004,0.36440684280465263,0.1841172696587515,
126,Honduras,0.8913793103448274,0.024469155888210487,0.022424448195762742,0.030894471096317155,0.7805433119602193,0.7300870080284318,0.04928854718300344,0.017980274537067964,0.3702630568373029
127,Hong Kong,0.9931034482758619,0.10613734173179784,0.1476634142930987,0.32100340463714305,0.6498768955516686,0.9827544804732212,0.008479709150631166,0.07470845891208394,0.9126496131590303
128,Hungary,0.996551724137931,0.09289693313439894,0.10978376413492649,0.19421515707817236,0.312015681301959,0.8129287366626378,0.1867663169880326,0.07028523874714243,0.760368351299879
129,Iceland,0.9706896551724138,0.2353346998569967,0.7380351642154915,0.2796518939356284,0.1733911647980071,0.9263333360014729,0.005058533763424499,0.1497684508674347,0.8024869471318535
130,India,0.646551724137931,0.05032071269320442,0.03344182479113957,0.04825316275042948,0.7408218859632535,0.7124452697889235,0.03590402705429092,0.030751108062176843,0.46155992602321927
131,Indonesia,0.9568965517241379,0.0620204486503333,0.04459695109925313,0.08214909135583279,0.5097646002469718,0.6952978043880224,0.0011285842278626142,0.05105127776873843,0.5299687437881757
132,International Aviation,,0.0,,,,,,,
133,International Shipping,,0.0,,,,,,,
134,Iran,0.8431034482758619,0.21531379634565567,0.1745602753848111,0.12032109743140215,0.6950508180049675,0.8255457012270774,0.005825405899629945,0.1598609831797665,0.564351792997156
